mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384                  17.15             11.41             10.21             43.80
32768                  24.30             15.38             14.27             37.46
65536                  44.02             24.43             23.00             14.87
131072                 80.61             46.07             42.61             18.93
262144                164.97             85.47             80.71              1.51
524288                297.21            153.64            147.82              2.87
1048576               564.92            287.73            277.29              0.03
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ialltoallw

# OSU MPI Non-blocking All-to-Allw Personalized Exchange Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       6.38              4.41              3.30             40.17
2                       5.56              3.46              2.88             27.03
4                       5.27              3.45              3.06             40.60
8                       6.27              4.16              3.02             30.00
16                      5.74              3.46              3.06             25.62
32                      5.58              3.62              3.05             35.83
64                      6.00              4.02              3.23             38.89
128                     6.68              4.60              4.23             51.07
256                     6.86              4.90              4.01             51.34
512                     7.46              5.47              4.34             54.16
1024                    7.40              5.31              4.65             55.11
2048                    8.70              6.31              5.61             57.31
4096                   10.00              7.34              6.01             55.80
8192                   11.99              8.60              7.60             55.40
16384                  18.81             12.88             10.27             42.34
32768                  25.02             15.93             14.44             37.04
65536                  43.95             27.82             26.20             38.43
131072                 79.23             46.07             42.60             22.16
262144                159.30             80.79             77.28              0.00
524288                303.60            154.94            147.61              0.00
1048576               567.09            293.04            282.45              2.97
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ibarrier

# OSU MPI Non-blocking Barrier Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

       Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
              9.42              3.53              2.82              0.00
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ibcast

# OSU MPI Non-Blocking Broadcast Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.71              3.32              2.67             48.07
2                       3.93              2.90              2.66             61.17
4                       4.86              3.60              2.71             53.50
8                       4.55              3.45              2.72             59.64
16                      4.85              3.45              2.71             48.31
32                      3.92              2.89              2.58             60.00
64                      4.73              3.45              2.99             57.21
128                     5.92              4.59              3.57             62.90
256                     5.18              4.04              3.30             65.52
512                     5.89              4.60              3.39             61.98
1024                    5.36              4.03              3.57             62.79
2048                    5.83              4.61              3.94             68.93
4096                    6.65              5.17              4.39             66.37
8192                    7.46              5.74              4.91             64.95
16384                  12.33             10.02              7.76             70.15
32768                  14.78             11.53             10.53             69.11
65536                  22.21             17.06             15.94             67.71
131072                 43.00             33.50             28.54             66.69
262144                100.82             54.30             51.69             10.01
524288                193.02            103.79             98.71              9.60
1048576               357.77            184.29            177.53              2.28
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_igather

# OSU MPI Non-blocking Gather Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.91              3.44              2.83             48.10
2                       4.78              3.59              2.67             55.33
4                       4.35              3.18              2.40             51.12
8                       4.34              3.18              2.41             51.93
16                      4.56              3.05              2.42             37.41
32                      4.77              3.44              2.57             48.33
64                      4.19              3.04              2.53             54.37
128                     5.59              4.32              3.21             60.71
256                     5.70              4.43              3.43             62.94
512                     5.56              4.16              3.49             59.77
1024                    5.45              4.17              3.40             62.36
2048                    5.53              4.17              3.62             62.35
4096                    6.25              4.58              3.93             57.52
8192                    7.96              6.03              4.80             59.81
16384                  11.40              8.56              7.82             63.64
32768                  17.92             13.64             12.13             64.73
65536                  25.93             17.09             15.96             44.61
131072                 44.85             29.88             27.02             44.59
262144                156.91             84.22             79.52              8.60
524288                276.01            141.12            135.66              0.57
1048576               537.72            276.45            265.96              1.76
mpirun -n 2 --map-by node /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_igatherv

# OSU MPI Non-blocking Gatherv Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.94              3.45              2.84             47.51
2                       4.66              3.35              2.49             47.36
4                       4.95              3.58              2.55             46.35
8                       4.54              3.32              2.38             48.93
16                      5.26              3.60              2.68             38.02
32                      4.39              3.03              2.39             43.60
64                      4.66              3.45              2.65             54.14
128                     5.65              4.18              3.27             54.79
256                     5.66              4.16              3.36             55.58
512                     5.53              4.17              3.34             59.24
1024                    5.71              4.32              3.56             60.76
2048                    6.15              4.72              3.93             63.67
4096                    6.17              4.59              3.96             60.18
8192                    7.89              5.74              4.80             55.32
16384                  11.52              8.61              7.74             62.42
32768                  17.56             13.21             12.12             64.06
