mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_allgather

# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
16384                 716.47            630.57            608.65             85.89
32768                1009.59            790.53            762.94             71.29
65536                3677.93           1853.45           1790.25              0.00
131072               6346.58           3014.75           2911.52              0.00
262144              10368.71           4768.80           4606.57              0.00
524288              17079.39           7687.01           7425.58              0.00
1048576             34304.09          14526.22          14032.52              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ialltoall

# OSU MPI Non-blocking All-to-All Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      70.28             55.02             52.48             70.92
2                      69.60             54.50             51.79             70.85
4                      69.62             54.44             51.63             70.60
8                      69.95             54.20             51.20             69.25
16                     69.44             54.19             51.39             70.33
32                     69.55             54.19             51.59             70.22
64                     67.72             54.94             52.59             75.69
128                    64.42             52.71             50.30             76.73
256                    64.69             53.08             50.64             77.08
512                    64.80             52.97             50.73             76.68
1024                   65.55             53.24             50.96             75.86
2048                   79.27             65.99             63.10             78.96
4096                  208.61            177.40            169.52             81.59
8192                  564.83            411.17            396.60             61.26
16384                 560.56            474.85            458.31             81.30
32768                 622.26            589.92            569.50             94.32
65536                2413.43           1420.20           1371.12             27.56
131072               4377.47           2219.47           2142.70              0.00
262144               7773.31           3795.40           3666.22              0.00
524288              10781.49           5925.76           5724.34             15.17
1048576             21368.26          11216.24          10833.35              6.29
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ialltoallv

# OSU MPI Non-blocking All-to-Allv Personalized Exchange Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      68.46             54.19             51.66             72.37
2                      67.90             53.51             51.06             71.81
4                      69.05             54.12             51.45             71.00
8                      67.39             53.01             50.85             71.72
16                     68.28             53.89             51.06             71.82
32                     65.79             53.46             51.12             75.87
64                     64.13             53.03             50.73             78.13
128                    63.62             52.41             50.30             77.73
256                    63.76             52.82             50.54             78.35
512                    63.65             52.80             50.40             78.47
1024                   64.58             52.87             50.70             76.90
2048                  184.15             86.91             83.54              0.00
4096                  134.94            120.62            116.16             87.67
8192                  564.25            409.89            396.33             61.05
16384                 552.10            473.13            457.87             82.75
32768                 622.29            588.89            569.48             94.13
65536                2434.84           1370.41           1326.95             19.78
131072               3601.09           2092.50           2026.52             25.56
262144               6785.72           3492.04           3377.96              2.50
524288              10467.06           5544.44           5369.34              8.32
1048576             19360.31           9817.11           9508.75              0.00
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ialltoallw

# OSU MPI Non-blocking All-to-Allw Personalized Exchange Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      71.57             56.45             53.37             71.67
2                      69.13             54.15             51.28             70.79
4                      69.29             53.90             51.09             69.88
8                      69.74             54.45             51.42             70.27
16                     69.50             53.89             50.96             69.37
32                     70.53             55.13             51.33             70.00
64                     65.55             53.68             51.11             76.78
128                    64.86             53.03             50.64             76.65
256                    64.82             52.82             50.57             76.27
512                    65.10             53.33             50.66             76.77
1024                   65.90             53.29             50.84             75.20
2048                   82.89             65.92             63.06             73.10
4096                  178.28            127.60            121.70             58.36
8192                  563.19            409.60            394.99             61.11
16384                 555.72            473.81            457.11             82.08
32768                 622.40            589.99            569.48             94.31
65536                2319.90           1383.38           1336.08             29.91
131072               3706.64           2200.39           2125.49             29.13
262144               6919.93           3628.53           3505.17              6.10
524288              10413.40           5629.19           5437.48             12.01
1048576             19366.40           9860.73           9526.19              0.22
mpirun -n 2 --map-by node --mca btl self,tcp --mca pml_ucx_priority 0 --mca btl_tcp_if_include eth0 /scratch2/acolin/casper/gpref/gp-broadwell/usr/libexec/osu-micro-benchmarks/mpi/collective/osu_ibarrier

# OSU MPI Non-blocking Barrier Latency Test v5.6.3
