solver,mesh,nproc,nthread,trial,time
superlu_dist,384,1,8,1,64.85203456878662
superlu_dist,384,1,12,0,87.74308800697327
superlu_dist,384,1,12,1,89.23153877258301
superlu_dist,384,1,16,0,94.34937524795532
superlu_dist,384,1,16,1,94.98749947547913
superlu_dist,384,1,24,0,100.68778157234192
superlu_dist,384,1,24,1,100.81807827949524
superlu_dist,384,1,32,0,105.07002115249634
superlu_dist,384,1,32,1,105.39003205299377
superlu_dist,384,2,1,0,57.80541467666626
superlu_dist,384,2,1,1,57.98650527000427
superlu_dist,384,2,2,0,52.55157256126404
superlu_dist,384,2,2,1,53.16662311553955
superlu_dist,384,2,4,0,50.13040018081665
superlu_dist,384,2,4,1,50.79446792602539
superlu_dist,384,2,6,0,49.842705488204956
superlu_dist,384,2,6,1,51.114811182022095
superlu_dist,384,2,8,0,48.66016459465027
superlu_dist,384,2,8,1,48.6933159828186
superlu_dist,384,2,12,0,64.27950143814087
superlu_dist,384,2,12,1,63.28021311759949
superlu_dist,384,2,16,0,64.1943986415863
superlu_dist,384,2,16,1,67.89334487915039
superlu_dist,384,4,1,0,49.22513699531555
superlu_dist,384,4,1,1,48.803138256073
superlu_dist,384,4,2,0,45.71873211860657
superlu_dist,384,4,2,1,45.75805878639221
superlu_dist,384,4,4,0,40.8644323348999
superlu_dist,384,4,4,1,41.38006114959717
superlu_dist,384,4,6,0,52.04232454299927
superlu_dist,384,4,6,1,49.9143123626709
superlu_dist,384,4,8,0,53.67037105560303
superlu_dist,384,4,8,1,52.34269714355469
superlu_dist,384,6,1,0,43.21157240867615
superlu_dist,384,6,1,1,43.00209045410156
superlu_dist,384,6,2,0,38.64507603645325
superlu_dist,384,6,2,1,38.15939402580261
superlu_dist,384,6,4,0,45.96227216720581
superlu_dist,384,6,4,1,47.74177074432373
superlu_dist,384,8,1,0,41.81820225715637
superlu_dist,384,8,1,1,41.95429086685181
superlu_dist,384,8,2,0,36.22072649002075
superlu_dist,384,8,2,1,35.314942598342896
superlu_dist,384,8,4,0,43.82778787612915
superlu_dist,384,8,4,1,41.96010112762451
superlu_dist,384,12,1,0,36.61286902427673
superlu_dist,384,12,1,1,37.00308060646057
superlu_dist,384,12,2,0,40.65900158882141
superlu_dist,384,12,2,1,40.976948976516724
superlu_dist,384,16,1,0,35.59188485145569
superlu_dist,384,16,1,1,35.36315059661865
superlu_dist,384,16,2,0,41.09160351753235
superlu_dist,384,16,2,1,41.72680616378784
superlu_dist,384,24,1,0,45.2589635848999
superlu_dist,384,24,1,1,45.50978875160217
superlu_dist,384,32,1,0,49.81834530830383
superlu_dist,384,32,1,1,49.74012279510498
