,rank,mesh,ranks,omp_threads,ranks_per_node,timesteps,dt,max_iters,mesh_s,mesh_peakmem_mb,setup_s,setup_peakmem_mb,solve_s,solve_peakmem_mb,total_s,kern_0,kern_1,kern_2,SchurInv_kern
0,0,256,1,4,42,100,5e-06,100,0.4881179332733154,346.1875,12.696687936782837,452.6875,283.82857346534735,626.125,297.01337933540344,0.0286470630671829,2.0076986402273175e-05,1.254957169294357e-06,111.80963211855853
0,0,256,1,42,42,100,5e-06,100,0.4870908260345459,346.1875,12.551172733306885,454.0625,321.7707440853119,614.25,334.8090076446533,0.0287737799808383,2.039899118244648e-05,1.3958197087049484e-06,133.32290879590434
0,0,256,1,8,42,100,5e-06,100,0.4873082637786865,346.1875,12.530527830123901,453.0625,267.4997410774231,624.375,280.5175771713257,0.028809597948566083,2.0243925973773003e-05,1.5778932720422743e-06,85.05266945273615
0,0,256,2,1,42,100,5e-06,100,0.8579611778259277,375.1875,12.102999210357664,420.0,302.4100546836853,515.4375,315.37101507186884,0.017327663023024797,0.00024172198027372358,1.7660204321146011e-06,186.15575343300586
1,1,256,2,1,42,100,5e-06,100,0.8579823970794678,338.375,12.101975440979006,395.4375,302.40972852706915,492.375,315.36968636512756,0.016969116171821952,0.0006101359613239765,1.4009419828653336e-06,186.12327462458055
0,0,256,32,1,42,100,5e-06,100,1.5082824230194092,380.5625,12.795432567596436,403.4375,57.53595948219299,404.75,71.83967447280885,0.0012459130957722664,0.00025759008713066583,1.5781261026859283e-06,34.534224670380354
1,1,256,32,1,42,100,5e-06,100,1.322864294052124,326.875,12.795640707015991,353.875,57.5333149433136,365.625,71.6518199443817,0.0012032901868224144,0.000310744158923626,1.2379605323076248e-06,34.58153886254877
2,2,256,32,1,42,100,5e-06,100,1.3374013900756836,326.5625,12.792929887771606,354.125,57.53633141517639,369.0625,71.6666626930237,0.0012069959193468096,0.0003079341258853674,1.4000106602907179e-06,34.78370324987918
3,3,256,32,1,42,100,5e-06,100,1.124418020248413,327.3125,12.79283356666565,354.625,57.53612065315246,369.125,71.45337224006653,0.0011934610083699224,0.00032140500843524933,1.6870908439159391e-06,34.70731141138822
4,4,256,32,1,42,100,5e-06,100,1.7066164016723633,326.6875,12.796507120132446,354.375,57.53620958328247,371.0,72.03933310508728,0.0012060790322721007,0.00030744215473532677,1.2980308383703232e-06,34.707656641025096
5,5,256,32,1,42,100,5e-06,100,0.8877990245819092,327.1875,12.789429664611815,354.9375,57.53333687782288,370.0625,71.21056556701659,0.0011813158635050056,0.00033312500454485416,1.0968651622533798e-06,34.740819612750784
6,6,256,32,1,42,100,5e-06,100,1.5451827049255369,327.25,12.794971227645874,354.8125,57.53368377685547,368.875,71.87383770942687,0.0012007360346615314,0.00031407386995851994,1.612119376659393e-06,34.762341796886176
7,7,256,32,1,42,100,5e-06,100,1.1398534774780271,327.0625,12.796110391616821,355.1875,57.53336238861084,372.0,71.46932625770569,0.0012333579361438751,0.00028177094645798206,1.2328382581472395e-06,34.634623017394915
8,8,256,32,1,42,100,5e-06,100,1.426830768585205,324.5,12.794667482376099,354.0,57.5333366394043,368.1875,71.75483489036559,0.0012178618926554918,0.00029555405490100384,1.5469267964363096e-06,34.5936451300513
9,9,256,32,1,42,100,5e-06,100,1.1081428527832031,327.125,12.79238986968994,354.75,57.53332686424255,366.25,71.43385958671571,0.0011943411082029345,0.0003190520219504833,1.778826117515564e-06,34.835359514923766
10,10,256,32,1,42,100,5e-06,100,1.550511598587036,327.125,12.796785593032837,355.4375,57.523594617843635,369.6875,71.8708918094635,0.0012067020870745182,0.00030786404386162763,1.1830125004053116e-06,34.89034616202116
11,11,256,32,1,42,100,5e-06,100,1.3722209930419922,327.3125,12.796236038208008,354.875,57.50376057624817,369.625,71.67221760749817,0.0012194910086691382,0.00029428396373987203,1.5760306268930437e-06,34.72941259224899
12,12,256,32,1,42,100,5e-06,100,1.6559381484985352,326.9375,12.794272899627686,354.5625,57.531941413879395,366.875,71.98215246200563,0.0012161708436906338,0.0002983720041811466,1.9220169633626938e-06,34.83548327581957
